consumer_id,dob,primary_state,fico8,vantage4,score_date,tradelines_total,tradelines_open,revolving_limit_sum,revolving_balance_sum,revolving_utilization,total_balance_sum,delinq_24mo_count,worst_delinq_24mo,inquiries_12mo_hard,inquiries_12mo_soft,has_collection,collection_balance_total,has_bankruptcy,bankruptcy_most_recent,months_since_oldest_account,avg_account_age_months
C0001,1972-01-24,NJ,572,663,2025-10-05,4,3,60000,40116.47,0.6686,344960.88,19,3,1,0,0,0,0,,144,98.2
C0002,1980-04-05,FL,546,729,2025-10-05,4,0,30000,17824.57,0.5942,489705.83,17,3,0,2,0,0,0,,105,82.5
C0003,1999-02-19,MI,690,503,2025-10-05,3,1,30000,29169.96,0.9723,188658.81,8,3,1,1,0,0,0,,158,124.7
C0004,1967-01-03,AZ,613,486,2025-10-05,4,1,15000,5724.4,0.3816,12720.57,9,3,0,2,0,0,0,,134,53.0
C0005,1979-09-20,CA,653,701,2025-10-05,3,0,1000,760.13,0.7601,169228.4,7,3,1,1,0,0,0,,126,79.3
C0006,2000-04-23,IN,726,677,2025-10-05,4,0,5000,3693.9,0.7388,458024.3,12,2,0,0,0,0,0,,164,126.8
C0007,1991-04-15,MO,765,485,2025-10-05,3,1,10000,4220.02,0.422,14654.68,12,3,1,1,0,0,0,,36,16.3
C0008,1982-01-25,WA,738,733,2025-10-05,3,0,35000,14265.9,0.4076,18750.21,11,3,1,2,0,0,0,,179,140.0
C0009,1992-06-09,IL,518,644,2025-10-05,3,1,40000,21420.2,0.5355,103019.03,11,3,1,0,0,0,0,,175,101.0
C0010,1978-06-04,TX,649,505,2025-10-05,2,1,30000,10484.9,0.3495,129079.22,3,1,0,2,0,0,0,,83,74.5
C0011,1989-02-12,VA,761,686,2025-10-05,4,0,1000,105.57,0.1056,96838.37,11,2,2,0,0,0,0,,98,57.5
C0012,1981-01-24,MA,520,707,2025-10-05,4,0,0,0.0,0.0,724908.91,7,3,1,2,0,0,0,,149,119.5
C0013,1999-02-13,TX,525,708,2025-10-05,3,1,10000,9323.82,0.9324,200670.47,4,2,1,0,0,0,0,,143,90.0
C0014,2000-05-27,WI,540,489,2025-10-05,2,0,31000,22193.73,0.7159,22193.73,5,3,1,0,0,0,0,,150,95.5
