join_id,on_time_payment_ratio,utilization_ratio,total_limit,total_balance,delinq_30,delinq_60,delinq_90,charge_off,collections,avg_monthly_spend,monthly_spend_volatility,active_months,net_cashflow_trend,expense_entropy,merchant_diversity,payment_day_regular_std,cash_intensity,num_revolving_accounts,num_installment_loans,num_mortgages,aaoa_months,inquiries_recent,new_accounts_recent,thin_file_flag,avg_city_pop,join_id_feat,join_id_beh,join_id_beh,avg_monthly_spend_beh,monthly_volatility,avg_tx_count,merchant_diversity_beh,total_fraud,active_months_beh,fraud_ratio,spend_trend
C0001,0.0,5.0,60000.0,344960.88,0.0,0.0,0.0,0.0,0.0,,,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,C0001,28678,28678,885.9,0.0,1.0,1.0,0.0,1,0.0,0.0
C0002,0.0,5.0,30000.0,489705.83,0.0,0.0,0.0,0.0,0.0,,,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,C0002,37888,37888,279.83,0.0,1.0,1.0,0.0,1,0.0,0.0
C0003,0.0,5.0,30000.0,188658.81,0.0,0.0,0.0,0.0,0.0,,,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,C0003,22958,22958,228.67,0.0,1.0,1.0,0.0,1,0.0,0.0
C0004,0.0,0.848038,15000.0,12720.57,0.0,0.0,0.0,0.0,0.0,,,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,C0004,39788,39788,264.0,0.0,1.0,1.0,0.0,1,0.0,0.0
C0005,0.0,5.0,1000.0,169228.4,0.0,0.0,0.0,0.0,0.0,,,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,C0005,24174,24174,84.72,0.0,1.0,1.0,0.0,1,0.0,0.0
C0006,0.0,5.0,5000.0,458024.3,0.0,0.0,0.0,0.0,0.0,,,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,C0006,48991,48991,80.49,0.0,1.0,1.0,0.0,1,0.0,0.0
C0007,0.0,1.465468,10000.0,14654.68,0.0,0.0,0.0,0.0,0.0,,,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,C0007,33410,33410,29.94,0.0,1.0,1.0,0.0,1,0.0,0.0
C0008,0.0,0.5357202857142856,35000.0,18750.21,0.0,0.0,0.0,0.0,0.0,,,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,C0008,24012,24012,998.08,0.0,1.0,1.0,0.0,1,0.0,0.0
C0009,0.0,2.57547575,40000.0,103019.03,0.0,0.0,0.0,0.0,0.0,,,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,C0009,26799,26799,2954.4,0.0,1.0,1.0,0.0,1,0.0,0.0
C0010,0.0,4.302640666666667,30000.0,129079.22,0.0,0.0,0.0,0.0,0.0,,,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,1.0,,C0010,20860,20860,170.87,0.0,1.0,1.0,0.0,1,0.0,0.0
C0011,0.0,5.0,1000.0,96838.37,0.0,0.0,0.0,0.0,0.0,,,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,C0011,38749,38749,1853.45,0.0,1.0,1.0,0.0,1,0.0,0.0
C0012,0.0,0.0,0.0,724908.91,0.0,0.0,0.0,0.0,0.0,,,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,C0012,19782,19782,45.62,0.0,1.0,1.0,0.0,1,0.0,0.0
C0013,0.0,5.0,10000.0,200670.47,0.0,0.0,0.0,0.0,0.0,,,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,C0013,10705,10705,192.68,0.0,1.0,1.0,0.0,1,0.0,0.0
C0014,0.0,0.7159267741935483,31000.0,22193.73,0.0,0.0,0.0,0.0,0.0,,,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,1.0,,C0014,13669,13669,26.1,0.0,1.0,1.0,0.0,1,0.0,0.0
C0015,0.0,5.0,10000.0,240933.78000000003,0.0,0.0,0.0,0.0,0.0,,,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,C0015,28127,28127,1846.77,0.0,1.0,1.0,0.0,1,0.0,0.0
C0016,0.0,0.1589845714285714,35000.0,5564.46,0.0,0.0,0.0,0.0,0.0,,,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,1.0,,C0016,7130,7130,647.5,0.0,1.0,1.0,0.0,1,0.0,0.0
C0017,0.0,5.0,20000.0,385365.04,0.0,0.0,0.0,0.0,0.0,,,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,C0017,8296,8296,2539.98,0.0,1.0,1.0,0.0,1,0.0,0.0
C0018,0.0,2.1173068,25000.0,52932.67,0.0,0.0,0.0,0.0,0.0,,,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,C0018,42227,42227,84.1,0.0,1.0,1.0,0.0,1,0.0,0.0
C0019,0.0,5.0,30000.0,234013.1,0.0,0.0,0.0,0.0,0.0,,,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,1.0,,C0019,46976,46976,41.28,0.0,1.0,1.0,0.0,1,0.0,0.0
C0020,0.0,0.0,0.0,28287.55,0.0,0.0,0.0,0.0,0.0,,,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,1.0,,C0020,31013,31013,296.74,0.0,1.0,1.0,0.0,1,0.0,0.0
C0021,0.0,2.739478333333333,30000.0,82184.35,0.0,0.0,0.0,0.0,0.0,,,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,C0021,14625,14625,55.18,0.0,1.0,1.0,0.0,1,0.0,0.0
C0022,0.0,0.8282586666666667,15000.0,12423.88,0.0,0.0,0.0,0.0,0.0,,,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,C0022,13727,13727,98.52,0.0,1.0,1.0,0.0,1,0.0,0.0
C0023,0.0,2.998625333333333,15000.0,44979.38,0.0,0.0,0.0,0.0,0.0,,,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,C0023,45266,45266,832.87,0.0,1.0,1.0,0.0,1,0.0,0.0
C0024,0.0,5.0,3000.0,174161.81,0.0,0.0,0.0,0.0,0.0,,,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,C0024,32260,32260,178.05,0.0,1.0,1.0,0.0,1,0.0,0.0
C0025,0.0,5.0,10000.0,347315.6,0.0,0.0,0.0,0.0,0.0,,,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,C0025,43883,43883,53.32,0.0,1.0,1.0,0.0,1,0.0,0.0
C0026,0.0,5.0,20000.0,332000.46,0.0,0.0,0.0,0.0,0.0,,,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,C0026,17399,17399,70.0,0.0,1.0,1.0,0.0,1,0.0,0.0
C0027,0.0,2.1594188,50000.0,107970.94,0.0,0.0,0.0,0.0,0.0,,,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,C0027,32278,32278,54.78,0.0,1.0,1.0,0.0,1,0.0,0.0
C0028,0.0,0.0,0.0,227759.93,0.0,0.0,0.0,0.0,0.0,,,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,C0028,19491,19491,120.36,0.0,1.0,1.0,0.0,1,0.0,0.0
C0029,0.0,0.8736446666666666,30000.0,26209.34,0.0,0.0,0.0,0.0,0.0,,,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,1.0,,C0029,19177,19177,143.35,0.0,1.0,1.0,0.0,1,0.0,0.0
C0030,0.0,5.0,2000.0,362799.48,0.0,0.0,0.0,0.0,0.0,,,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,1.0,,C0030,46731,46731,30.86,0.0,1.0,1.0,0.0,1,0.0,0.0
C0031,0.0,1.749181636363636,55000.0,96204.99,0.0,0.0,0.0,0.0,0.0,,,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,C0031,27135,27135,269.83,0.0,1.0,1.0,0.0,1,0.0,0.0
C0032,0.0,5.0,1000.0,140489.07,0.0,0.0,0.0,0.0,0.0,,,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,1.0,,C0032,37735,37735,310.62,0.0,1.0,1.0,0.0,1,0.0,0.0
C0033,0.0,0.0,0.0,17819.72,0.0,0.0,0.0,0.0,0.0,,,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,1.0,,C0033,12703,12703,106.96,0.0,1.0,1.0,0.0,1,0.0,0.0
C0034,0.0,5.0,1000.0,29445.73,0.0,0.0,0.0,0.0,0.0,,,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,C0034,12622,12622,292.47,0.0,1.0,1.0,0.0,1,0.0,0.0
C0035,0.0,5.0,30000.0,349488.16000000003,0.0,0.0,0.0,0.0,0.0,,,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,C0035,40125,40125,821.98,0.0,1.0,1.0,0.0,1,0.0,0.0
C0036,0.0,0.138944,10000.0,1389.44,0.0,0.0,0.0,0.0,0.0,,,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,1.0,,C0036,8324,8324,66.19,0.0,1.0,1.0,0.0,1,0.0,0.0
C0037,0.0,1.544956,5000.0,7724.78,0.0,0.0,0.0,0.0,0.0,,,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,1.0,,C0037,27698,27698,289.59,0.0,1.0,1.0,0.0,1,0.0,0.0
C0038,0.0,4.9803356,50000.0,249016.78,0.0,0.0,0.0,0.0,0.0,,,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,C0038,39490,39490,966.59,0.0,1.0,1.0,0.0,1,0.0,0.0
C0039,0.0,0.0,0.0,55167.060000000005,0.0,0.0,0.0,0.0,0.0,,,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,C0039,19729,19729,127.4,0.0,1.0,1.0,0.0,1,0.0,0.0
C0040,0.0,1.052728,25000.0,26318.2,0.0,0.0,0.0,0.0,0.0,,,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,C0040,7111,7111,287.81,0.0,1.0,1.0,0.0,1,0.0,0.0
C0041,0.0,1.31171,1000.0,1311.71,0.0,0.0,0.0,0.0,0.0,,,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,1.0,,C0041,5616,5616,42.75,0.0,1.0,1.0,0.0,1,0.0,0.0
C0042,0.0,5.0,5000.0,240029.06,0.0,0.0,0.0,0.0,0.0,,,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,1.0,,C0042,45498,45498,132.45,0.0,1.0,1.0,0.0,1,0.0,0.0
C0043,0.0,0.0,0.0,115839.61,0.0,0.0,0.0,0.0,0.0,,,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,C0043,5245,5245,73.27,0.0,1.0,1.0,0.0,1,0.0,0.0
C0044,0.0,5.0,10000.0,270712.65,0.0,0.0,0.0,0.0,0.0,,,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,C0044,32377,32377,125.09,0.0,1.0,1.0,0.0,1,0.0,0.0
C0045,0.0,5.0,5000.0,62319.02,0.0,0.0,0.0,0.0,0.0,,,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,1.0,,C0045,30651,30651,995.12,0.0,1.0,1.0,0.0,1,0.0,0.0
C0046,0.0,0.6626947272727273,55000.0,36448.21,0.0,0.0,0.0,0.0,0.0,,,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,C0046,37590,37590,158.61,0.0,1.0,1.0,0.0,1,0.0,0.0
C0047,0.0,2.2729225806451616,31000.0,70460.6,0.0,0.0,0.0,0.0,0.0,,,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,C0047,20809,20809,818.48,0.0,1.0,1.0,0.0,1,0.0,0.0
C0048,0.0,0.0,0.0,19745.24,0.0,0.0,0.0,0.0,0.0,,,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,C0048,18606,18606,25.39,0.0,1.0,1.0,0.0,1,0.0,0.0
C0049,0.0,0.0,0.0,17896.97,0.0,0.0,0.0,0.0,0.0,,,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,C0049,6296,6296,918.09,0.0,1.0,1.0,0.0,1,0.0,0.0
C0050,0.0,5.0,5000.0,139472.77,0.0,0.0,0.0,0.0,0.0,,,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,C0050,27053,27053,904.03,0.0,1.0,1.0,0.0,1,0.0,0.0
C0051,0.0,3.50782,2000.0,7015.64,0.0,0.0,0.0,0.0,0.0,,,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,1.0,,C0051,2169,2169,71.17,0.0,1.0,1.0,0.0,1,0.0,0.0
C0052,0.0,5.0,12000.0,72922.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,C0052,31257,31257,512.87,0.0,1.0,1.0,0.0,1,0.0,0.0
C0053,0.0,5.0,5000.0,166763.84999999998,0.0,0.0,0.0,0.0,0.0,,,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,C0053,41409,41409,2246.67,0.0,1.0,1.0,0.0,1,0.0,0.0
C0054,0.0,0.210286,15000.0,3154.29,0.0,0.0,0.0,0.0,0.0,,,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,1.0,,C0054,29913,29913,67.51,0.0,1.0,1.0,0.0,1,0.0,0.0
C0055,0.0,0.0,0.0,31993.7,0.0,0.0,0.0,0.0,0.0,,,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,C0055,8281,8281,250.27,0.0,1.0,1.0,0.0,1,0.0,0.0
C0056,0.0,0.3173388,50000.0,15866.94,0.0,0.0,0.0,0.0,0.0,,,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,1.0,,C0056,35710,35710,75.57,0.0,1.0,1.0,0.0,1,0.0,0.0
C0057,0.0,0.0,0.0,539527.32,0.0,0.0,0.0,0.0,0.0,,,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,C0057,1100,1100,29.43,0.0,1.0,1.0,0.0,1,0.0,0.0
C0058,0.0,0.7927555000000001,20000.0,15855.11,0.0,0.0,0.0,0.0,0.0,,,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,1.0,,C0058,7294,7294,71.7,0.0,1.0,1.0,0.0,1,0.0,0.0
C0059,0.0,4.400439,10000.0,44004.39,0.0,0.0,0.0,0.0,0.0,,,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,C0059,6862,6862,147.68,0.0,1.0,1.0,0.0,1,0.0,0.0
C0060,0.0,0.547787,10000.0,5477.87,0.0,0.0,0.0,0.0,0.0,,,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,C0060,35819,35819,783.36,0.0,1.0,1.0,0.0,1,0.0,0.0
C0061,0.0,0.0,0.0,155479.78,0.0,0.0,0.0,0.0,0.0,,,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,C0061,19931,19931,163.64,0.0,1.0,1.0,0.0,1,0.0,0.0
C0062,0.0,3.412886666666667,30000.0,102386.6,0.0,0.0,0.0,0.0,0.0,,,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,C0062,10454,10454,151.0,0.0,1.0,1.0,0.0,1,0.0,0.0
C0063,0.0,2.585721,20000.0,51714.42,0.0,0.0,0.0,0.0,0.0,,,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,1.0,,C0063,33642,33642,22.13,0.0,1.0,1.0,0.0,1,0.0,0.0
C0064,0.0,2.3342425,20000.0,46684.85,0.0,0.0,0.0,0.0,0.0,,,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,C0064,47296,47296,260.09,0.0,1.0,1.0,0.0,1,0.0,0.0
C0065,0.0,0.0,0.0,53863.48,0.0,0.0,0.0,0.0,0.0,,,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,C0065,23726,23726,31.37,0.0,1.0,1.0,0.0,1,0.0,0.0
C0066,0.0,0.1431583333333333,30000.0,4294.75,0.0,0.0,0.0,0.0,0.0,,,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,1.0,,C0066,44326,44326,1846.62,0.0,1.0,1.0,0.0,1,0.0,0.0
C0067,0.0,5.0,5000.0,38265.64,0.0,0.0,0.0,0.0,0.0,,,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,C0067,33301,33301,117.29,0.0,1.0,1.0,0.0,1,0.0,0.0
C0068,0.0,5.0,1000.0,18030.74,0.0,0.0,0.0,0.0,0.0,,,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,C0068,32019,32019,311.92,0.0,1.0,1.0,0.0,1,0.0,0.0
C0069,0.0,5.0,2000.0,46747.350000000006,0.0,0.0,0.0,0.0,0.0,,,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,C0069,16168,16168,116.52,0.0,1.0,1.0,0.0,1,0.0,0.0
C0070,0.0,0.5640495,20000.0,11280.99,0.0,0.0,0.0,0.0,0.0,,,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,C0070,42902,42902,516.72,0.0,1.0,1.0,0.0,1,0.0,0.0
C0071,0.0,0.0,0.0,409156.07,0.0,0.0,0.0,0.0,0.0,,,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,C0071,6278,6278,2030.24,0.0,1.0,1.0,0.0,1,0.0,0.0
C0072,0.0,5.0,3000.0,240705.27,0.0,0.0,0.0,0.0,0.0,,,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,C0072,47086,47086,153.62,0.0,1.0,1.0,0.0,1,0.0,0.0
C0073,0.0,5.0,6000.0,279012.72000000003,0.0,0.0,0.0,0.0,0.0,,,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,C0073,46667,46667,1772.41,0.0,1.0,1.0,0.0,1,0.0,0.0
C0074,0.0,0.4014454545454545,11000.0,4415.9,0.0,0.0,0.0,0.0,0.0,,,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,C0074,44728,44728,427.61,0.0,1.0,1.0,0.0,1,0.0,0.0
C0075,0.0,0.4675392307692307,26000.0,12156.02,0.0,0.0,0.0,0.0,0.0,,,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,C0075,14556,14556,297.41,0.0,1.0,1.0,0.0,1,0.0,0.0
C0076,0.0,3.638416,30000.0,109152.48,0.0,0.0,0.0,0.0,0.0,,,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,C0076,13114,13114,37.93,0.0,1.0,1.0,0.0,1,0.0,0.0
C0077,0.0,5.0,10000.0,521690.3,0.0,0.0,0.0,0.0,0.0,,,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,C0077,34722,34722,478.68,0.0,1.0,1.0,0.0,1,0.0,0.0
C0078,0.0,0.8897614285714286,35000.0,31141.65,0.0,0.0,0.0,0.0,0.0,,,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,C0078,47937,47937,196.32,0.0,1.0,1.0,0.0,1,0.0,0.0
C0079,0.0,5.0,1000.0,9570.5,0.0,0.0,0.0,0.0,0.0,,,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,1.0,,C0079,40722,40722,173.29,0.0,1.0,1.0,0.0,1,0.0,0.0
C0080,0.0,0.0,0.0,15050.8,0.0,0.0,0.0,0.0,0.0,,,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,1.0,,C0080,35652,35652,74.82,0.0,1.0,1.0,0.0,1,0.0,0.0
C0081,0.0,0.0,0.0,70983.16,0.0,0.0,0.0,0.0,0.0,,,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,1.0,,C0081,3308,3308,128.88,0.0,1.0,1.0,0.0,1,0.0,0.0
C0082,0.0,0.0,0.0,842581.49,0.0,0.0,0.0,0.0,0.0,,,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,C0082,14805,14805,164.71,0.0,1.0,1.0,0.0,1,0.0,0.0
